 Count  Overhead File                                                                                                      Line Function
     1         1 @Base/array.jl                                                                                               ? phase_sample!(::Array{Int32,1}, ::Array{Int32,1}, ::MendelImpute.CompressedHaplotypes, ::Array{Int32,1}, ::Array{Int32,1})
  2077         0 @Base/array.jl                                                                                             935 push!
   179         0 @Base/array.jl                                                                                             936 push!
     1         1 @Base/array.jl                                                                                             937 push!
     1         1 @Base/array.jl                                                                                               ? rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     2         0 @Base/array.jl                                                                                            1085 resize!
     1         1 @Base/array.jl                                                                                               ? resize_and_copy!
   150       150 @Base/array.jl                                                                                               ? searchsortedlast
     2         2 @Base/array.jl                                                                                               ? setindex!
  1106       946 @Base/array.jl                                                                                             847 setindex!
     2         2 @Base/array.jl                                                                                             847 setindex!(::Array{String,1}, ::String, ::Int64)
  1856      1856 @Base/array.jl                                                                                             849 setindex!
    11         0 @Base/array.jl                                                                                             379 similar
    40        40 @Base/array.jl                                                                                             155 size
   165       165 @Base/array.jl                                                                                             245 unsafe_copyto!
    14        14 @Base/array.jl                                                                                             293 unsafe_copyto!
   441         0 @Base/array.jl                                                                                             521 zeros
   263         0 @Base/array.jl                                                                                             525 zeros
   178         0 @Base/array.jl                                                                                             526 zeros
   103         0 @Base/baseext.jl                                                                                            32 Array{Union{Missing, UInt8},2}(::Missing, ::Int64, ::Vararg{Int64,N} where N)
     2         2 @Base/bitarray.jl                                                                                           28 BitArray{1}(::UndefInitializer, ::Int64)
     2         0 @Base/bitarray.jl                                                                                           32 BitArray{1}(::UndefInitializer, ::Int64)
     1         0 @Base/bitarray.jl                                                                                           36 BitArray{1}(::UndefInitializer, ::Int64)
    88         0 @Base/bitarray.jl                                                                                           37 BitArray{1}(::UndefInitializer, ::Int64)
     5         0 @Base/bitarray.jl                                                                                           38 BitArray{1}(::UndefInitializer, ::Int64)
    10        10 @Base/bitarray.jl                                                                                           39 BitArray{1}(::UndefInitializer, ::Int64)
    92         0 @Base/bitarray.jl                                                                                           71 BitArray
   106         0 @Base/bitarray.jl                                                                                          119 _div64
     1         0 @Base/bitarray.jl                                                                                          154 copy_chunks!(::Array{UInt64,1}, ::Int64, ::Array{UInt64,1}, ::Int64, ::Int64)
    48         0 @Base/bitarray.jl                                                                                          166 copy_chunks!(::Array{UInt64,1}, ::Int64, ::Array{UInt64,1}, ::Int64, ::Int64)
     1         0 @Base/bitarray.jl                                                                                          168 copy_chunks!(::Array{UInt64,1}, ::Int64, ::Array{UInt64,1}, ::Int64, ::Int64)
   115         0 @Base/bitarray.jl                                                                                          126 get_chunks_id
   216         0 @Base/bitarray.jl                                                                                          668 getindex
    47         0 @Base/bitarray.jl                                                                                          130 glue_src_bitchunks
     1         0 @Base/bitarray.jl                                                                                          131 glue_src_bitchunks
     1         0 @Base/bitarray.jl                                                                                          124 num_bit_chunks
    92         0 @Base/bitarray.jl                                                                                          372 similar
     9         0 @Base/bitarray.jl                                                                                          105 size
     1         1 @Base/bitarray.jl                                                                                            ? unsafe_bitgetindex
   115         0 @Base/bitarray.jl                                                                                          660 unsafe_bitgetindex
     2         0 @Base/bitarray.jl                                                                                          661 unsafe_bitgetindex
    62         0 @Base/bitarray.jl                                                                                          662 unsafe_bitgetindex
    16         0 @Base/bitarray.jl                                                                                         1754 vcat(::BitArray{1}, ::BitArray{1})
     3         1 @Base/bitarray.jl                                                                                         1757 vcat(::BitArray{1}, ::BitArray{1})
    27        27 @Base/bool.jl                                                                                               40 &
    20         0 @Base/bool.jl                                                                                               96 +
   281       281 @Base/boot.jl                                                                                              406 Array{Int32,1}(::UndefInitializer, ::Int64)
  1165      1165 @Base/boot.jl                                                                                              406 Array
   297       297 @Base/boot.jl                                                                                              408 Array
    96        96 @Base/boot.jl                                                                                              408 Array{Union{Missing, UInt8},2}(::UndefInitializer, ::Int64, ::Int64)
    19         0 @Base/boot.jl                                                                                              415 Array{String,1}(::UndefInitializer, ::Tuple{Int64})
    32         0 @Base/boot.jl                                                                                              415 Array
   232         0 @Base/boot.jl                                                                                              416 Array
  1011         0 @Base/boot.jl                                                                                              425 Array
   145         0 @Base/boot.jl                                                                                              707 Int32
    30         0 @Base/boot.jl                                                                                              708 Int64
    28         0 @Base/boot.jl                                                                                              713 UInt64
     1         0 @Base/boot.jl                                                                                              710 UInt8
    29        25 @Base/boot.jl                                                                                              572 check_top_bit
     4         4 @Base/boot.jl                                                                                                ? checked_trunc_sint
     1         1 @Base/boot.jl                                                                                              588 checked_trunc_uint
     4         4 @Base/boot.jl                                                                                              562 is_top_bit_set
     1         1 @Base/boot.jl                                                                                                ? read!(::TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}, ::Array{Int32,1})
   144         0 @Base/boot.jl                                                                                              617 toInt32
     1         1 @Base/boot.jl                                                                                              619 toInt32
     1         1 @Base/boot.jl                                                                                              627 toInt64
     1         1 @Base/boot.jl                                                                                              630 toInt64
     1         0 @Base/boot.jl                                                                                              633 toInt64
    27        27 @Base/boot.jl                                                                                              635 toInt64
    28         0 @Base/boot.jl                                                                                              683 toUInt64
     1         0 @Base/boot.jl                                                                                              650 toUInt8
    11         0 @Base/broadcast.jl                                                                                        1072 broadcasted
    11         0 @Base/broadcast.jl                                                                                        1263 broadcasted
     2         0 @Base/c.jl                                                                                                 209 containsnul
     2         0 @Base/c.jl                                                                                                 216 unsafe_convert
    48         0 @Base/cartesian.jl                                                                                          64 macro expansion
    12         0 @Base/channels.jl                                                                                          447 iterate
  2336         0 @Base/channels.jl                                                                                          448 iterate(::Channel{Task}, ::Nothing)
200462         0 @Base/channels.jl                                                                                          312 put!
     1         0 @Base/channels.jl                                                                                          318 put_buffered(::Channel{Task}, ::Task)
200461         0 @Base/channels.jl                                                                                          320 put_buffered(::Channel{Task}, ::Task)
  2750         0 @Base/channels.jl                                                                                          381 take!
  2750         0 @Base/channels.jl                                                                                          387 take_buffered(::Channel{Task})
     5         5 @Base/checked.jl                                                                                           166 checked_add
     2         2 @Base/checked.jl                                                                                           223 checked_sub
  9260         0 @Base/client.jl                                                                                            506 _start()
  9260         0 @Base/client.jl                                                                                            296 exec_options(::Base.JLOptions)
     1         0 @Base/condition.jl                                                                                         124 #notify#483
     5         0 @Base/condition.jl                                                                                          73 lock
     1         0 @Base/condition.jl                                                                                         124 notify
     1         0 @Base/condition.jl                                                                                         129 notify(::Base.GenericCondition{Base.Threads.SpinLock}, ::Any, ::Bool, ::Bool)
     1         0 @Base/condition.jl                                                                                          74 unlock
203211         0 @Base/condition.jl                                                                                         106 wait(::Base.GenericCondition{ReentrantLock})
     1         0 @Base/dict.jl                                                                                              669 _iterate
     1         0 @Base/dict.jl                                                                                              356 _setindex!
     1         0 @Base/dict.jl                                                                                              365 _setindex!
    38         0 @Base/dict.jl                                                                                              367 _setindex!
    89         0 @Base/dict.jl                                                                                              490 get
    18         0 @Base/dict.jl                                                                                              491 get
     1         1 @Base/dict.jl                                                                                              444 get!(::Base.var"#142#143"{Int64}, ::Dict{Int64,Int64}, ::Int64)
     3         0 @Base/dict.jl                                                                                              445 get!(::Base.var"#142#143"{Int64}, ::Dict{Int64,Int64}, ::Int64)
    35         0 @Base/dict.jl                                                                                              459 get!(::Base.var"#142#143"{Int64}, ::Dict{Int64,Int64}, ::Int64)
     4         0 @Base/dict.jl                                                                                              168 hashindex
     6         6 @Base/dict.jl                                                                                                ? ht_keyindex(::Dict{Int32,Array{Int32,1}}, ::Int32)
    44         0 @Base/dict.jl                                                                                              279 ht_keyindex(::Dict{Int32,Array{Int32,1}}, ::Int32)
     1         0 @Base/dict.jl                                                                                              282 ht_keyindex(::Dict{Int32,Array{Int32,1}}, ::Int32)
    36        31 @Base/dict.jl                                                                                              286 ht_keyindex(::Dict{Int32,Array{Int32,1}}, ::Int32)
     1         0 @Base/dict.jl                                                                                              293 ht_keyindex(::Dict{Int64,Int64}, ::Int64)
     1         0 @Base/dict.jl                                                                                              294 ht_keyindex(::Dict{Int32,Array{Int32,1}}, ::Int32)
     2         0 @Base/dict.jl                                                                                              308 ht_keyindex2!(::Dict{Int32,Array{Int32,1}}, ::Int32)
     1         0 @Base/dict.jl                                                                                              313 ht_keyindex2!(::Dict{Int32,Array{Int32,1}}, ::Int32)
     1         1 @Base/dict.jl                                                                                              326 ht_keyindex2!(::Dict{Int64,Int64}, ::Int64)
     2         0 @Base/dict.jl                                                                                              330 ht_keyindex2!(::Dict{Int32,Array{Int32,1}}, ::Int32)
     6         0 @Base/dict.jl                                                                                              348 ht_keyindex2!(::Dict{Int32,Array{Int32,1}}, ::Int32)
     6         0 @Base/dict.jl                                                                                              170 isslotempty
     1         0 @Base/dict.jl                                                                                              671 iterate
     1         1 @Base/dict.jl                                                                                                ? rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     2         0 @Base/dict.jl                                                                                              185 rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
    31         0 @Base/dict.jl                                                                                              191 rehash!(::Dict{Int64,Int64}, ::Int64)
     4         0 @Base/dict.jl                                                                                              193 rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     1         0 @Base/dict.jl                                                                                              201 rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     1         0 @Base/dict.jl                                                                                              202 rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     1         1 @Base/dict.jl                                                                                              203 rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     1         0 @Base/dict.jl                                                                                              209 rehash!(::Dict{Int64,Int64}, ::Int64)
     3         0 @Base/dict.jl                                                                                              210 rehash!(::Dict{Int32,Array{Int32,1}}, ::Int64)
     9         0 @Base/dict.jl                                                                                              381 setindex!(::Dict{Int32,Array{Int32,1}}, ::Array{Int32,1}, ::Int32)
     5         0 @Base/dict.jl                                                                                              388 setindex!(::Dict{Int32,Array{Int32,1}}, ::Array{Int32,1}, ::Int32)
     2         0 @Base/dict.jl                                                                                              242 sizehint!
     5         3 @Base/env.jl                                                                                                38 _getenv(::String)
     5         0 @Base/env.jl                                                                                                42 access_env
     5         0 @Base/env.jl                                                                                                80 get
     4         0 @Base/essentials.jl                                                                                        388 cconvert
     7         7 @Base/float.jl                                                                                             455 !=
   156       156 @Base/float.jl                                                                                             404 *
   768       768 @Base/float.jl                                                                                             400 +
     2         2 @Base/float.jl                                                                                             401 +
129986    129986 @Base/float.jl                                                                                             402 -
 28335     28335 @Base/float.jl                                                                                             457 <
   331       331 @Base/float.jl                                                                                              66 Float32
     2         0 @Base/float.jl                                                                                             572 hash
     2         0 @Base/float.jl                                                                                             575 hash
     2         0 @Base/float.jl                                                                                             568 hx
     5         0 @Base/float.jl                                                                                             564 isinf
     7         0 @Base/float.jl                                                                                             536 isnan
   418         0 @Base/generator.jl                                                                                          47 iterate
     3         0 @Base/hashing.jl                                                                                            18 hash
     1         0 @Base/hashing.jl                                                                                            29 hash_64_64
     1         0 @Base/hashing.jl                                                                                            35 hash_64_64
     2         0 @Base/hashing.jl                                                                                            62 hash_uint64
     2         2 @Base/iddict.jl                                                                                             87 get
     2         0 @Base/iddict.jl                                                                                            142 get
     1         1 @Base/iddict.jl                                                                                             71 setindex!(::IdDict{Any,Any}, ::Any, ::Any)
  1254      1254 @Base/iddict.jl                                                                                             81 setindex!(::IdDict{Any,Any}, ::Any, ::Any)
     1         0 @Base/iddict.jl                                                                                             82 setindex!(::IdDict{Any,Any}, ::Any, ::Any)
     7         0 @Base/indices.jl                                                                                           483 iterate
     4         0 @Base/indices.jl                                                                                           321 to_indices
     1         1 @Base/int.jl                                                                                                 ? &
    30        30 @Base/int.jl                                                                                               308 &
     8         8 @Base/int.jl                                                                                                87 *
 27550     27550 @Base/int.jl                                                                                                86 +
    27         0 @Base/int.jl                                                                                               920 +
     6         0 @Base/int.jl                                                                                               922 +
   356       356 @Base/int.jl                                                                                                85 -
     1         0 @Base/int.jl                                                                                               922 -
  1020      1020 @Base/int.jl                                                                                                 ? <
  3142      3142 @Base/int.jl                                                                                                82 <
    11        11 @Base/int.jl                                                                                               440 <
    29         0 @Base/int.jl                                                                                               447 <
     2         2 @Base/int.jl                                                                                               456 <<
     2         0 @Base/int.jl                                                                                               463 <<
     2         2 @Base/int.jl                                                                                                 ? <=
   764       764 @Base/int.jl                                                                                               441 <=
   315         0 @Base/int.jl                                                                                               445 ==
   106       106 @Base/int.jl                                                                                               454 >>
     1         1 @Base/int.jl                                                                                               455 >>
   107         0 @Base/int.jl                                                                                               461 >>
    84        84 @Base/int.jl                                                                                               457 >>>
     7         7 @Base/int.jl                                                                                                 ? copyto_unaliased!(::IndexCartesian, ::SubArray{Union{Missing, UInt8},2,Array{Union{Missing, UInt8},2},Tuple{Array{Union{Nothing, Int64},1},Base.Slice{Base.OneTo{Int64}}},false}, ::IndexLinear, ::Array{Union{Missing, UInt8},2})
     1         1 @Base/int.jl                                                                                               384 leading_zeros
    27         0 @Base/int.jl                                                                                               473 rem
     2         0 @Base/intfuncs.jl                                                                                          600 #ndigits#335
     1         1 @Base/intfuncs.jl                                                                                          694 string(::Int64; base::Int64, pad::Int64)
     6         0 @Base/intfuncs.jl                                                                                          702 string(::Int64; base::Int64, pad::Int64)
     1         0 @Base/intfuncs.jl                                                                                          466 bit_ndigits0z
     1         0 @Base/intfuncs.jl                                                                                          468 bit_ndigits0z
     2         0 @Base/intfuncs.jl                                                                                          629 dec(::UInt64, ::Int64, ::Bool)
     5         0 @Base/intfuncs.jl                                                                                          630 dec(::UInt64, ::Int64, ::Bool)
     2         0 @Base/intfuncs.jl                                                                                          600 ndigits##kw
     2         0 @Base/intfuncs.jl                                                                                          572 ndigits0z
     2         0 @Base/intfuncs.jl                                                                                          514 ndigits0zpb(::UInt64, ::Int64)
     7         0 @Base/intfuncs.jl                                                                                          694 string
   619         0 @Base/io.jl                                                                                               1126 countlines(::TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}; eol::Char)
    16         0 @Base/io.jl                                                                                               1127 countlines(::TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}; eol::Char)
    51         0 @Base/io.jl                                                                                               1128 countlines(::TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream}; eol::Char)
     2         0 @Base/io.jl                                                                                                325 open(::JLSO.var"#31#32"{Tuple{}}, ::String; kwargs::Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}})
   686         0 @Base/io.jl                                                                                               1122 countlines(::TranscodingStreams.TranscodingStream{GzipDecompressor,IOStream})
    43         0 @Base/io.jl                                                                                               1129 macro expansion
     2         0 @Base/io.jl                                                                                                323 open
    15         0 @Base/io.jl                                                                                                703 read
     8         0 @Base/io.jl                                                                                                699 read!
    28         0 @Base/io.jl                                                                                                710 read!(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Array{UInt8,1})
  1073         0 @Base/io.jl                                                                                                716 read!(::TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}, ::Array{Int32,1})
     8         0 @Base/io.jl                                                                                                697 unsafe_read(::TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}, ::Base.RefValue{Int32}, ::Int64)
  1140         0 @Base/io.jl                                                                                                698 unsafe_read
  3356         0 @Base/io.jl                                                                                                622 unsafe_write
  3356         0 @Base/io.jl                                                                                                645 write(::TranscodingStreams.TranscodingStream{GzipCompressor,IOStream}, ::Array{UInt8,1})
   113         0 @Base/iobuffer.jl                                                                                           31 StringVector
    67         7 @Base/iobuffer.jl                                                                                          324 ensureroom
    68        29 @Base/iobuffer.jl                                                                                          327 ensureroom
    21         0 @Base/iobuffer.jl                                                                                          328 ensureroom
     2         0 @Base/iobuffer.jl                                                                                          329 ensureroom
   108         0 @Base/iobuffer.jl                                                                                          398 take!(::Base.GenericIOBuffer{Array{UInt8,1}})
    28         0 @Base/iobuffer.jl                                                                                          399 take!(::Base.GenericIOBuffer{Array{UInt8,1}})
    38         0 @Base/iobuffer.jl                                                                                          167 unsafe_read
   120       120 @Base/iobuffer.jl                                                                                          418 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
   158         0 @Base/iobuffer.jl                                                                                          419 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    22         5 @Base/iobuffer.jl                                                                                          420 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    25         0 @Base/iobuffer.jl                                                                                          421 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    82        22 @Base/iobuffer.jl                                                                                          424 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    34         0 @Base/iobuffer.jl                                                                                          425 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    46         0 @Base/iobuffer.jl                                                                                          426 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
     1         0 @Base/iobuffer.jl                                                                                          427 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    24         0 @Base/iobuffer.jl                                                                                          430 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    22        22 @Base/iobuffer.jl                                                                                          431 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
    36        36 @Base/iobuffer.jl                                                                                          434 unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
     1         1 @Base/iostream.jl                                                                                          284 open(::String; lock::Bool, read::Nothing, write::Nothing, create::Nothing, truncate::Bool, append::Nothing)
     1         0 @Base/iostream.jl                                                                                          346 open(::String, ::String; lock::Bool)
     1         0 @Base/iostream.jl                                                                                          521 read(::IOStream, ::Int32; all::Bool)
     1         0 @Base/iostream.jl                                                                                          485 #readbytes!#546
     5         5 @Base/iostream.jl                                                                                          222 _eof_nolock
     1         1 @Base/iostream.jl                                                                                           42 bytesavailable
     5         0 @Base/iostream.jl                                                                                           43 eof
     1         0 @Base/iostream.jl                                                                                          346 open
     1         0 @Base/iostream.jl                                                                                          273 open##kw
     1         0 @Base/iostream.jl                                                                                          520 read
     1         0 @Base/iostream.jl                                                                                          485 readbytes!##kw
     1         1 @Base/iostream.jl                                                                                          444 readbytes_all!(::IOStream, ::Array{UInt8,1}, ::Int32)
     1         0 @Base/iostream.jl                                                                                           42 unsafe_read
     1         1 @Base/iostream.jl                                                                                           43 unsafe_read
     2         0 @Base/iostream.jl                                                                                           44 unsafe_read
     3         3 @Base/iostream.jl                                                                                           43 unsafe_write(::IOStream, ::Ptr{UInt8}, ::UInt64)
     1         0 @Base/iostream.jl                                                                                           44 unsafe_write(::IOStream, ::Ptr{UInt8}, ::UInt64)
     1         0 @Base/iterators.jl                                                                                         139 iterate
     6         6 @Base/libc.jl                                                                                              247 time
     1         1 @Base/libuv.jl                                                                                             104 process_events
     1         0 @Base/linked_list.jl                                                                                        95 list_deletefirst!(::Base.InvasiveLinkedList{Task}, ::Task)
     1         0 @Base/linked_list.jl                                                                                        86 popfirst!
     2         2 @Base/lock.jl                                                                                               67 lock(::ReentrantLock)
     3         0 @Base/lock.jl                                                                                               69 lock(::ReentrantLock)
     1         0 @Base/lock.jl                                                                                               86 lock(::ReentrantLock)
     1         1 @Base/lock.jl                                                                                              158 lock(::ProgressMeter.var"#13#14"{Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Progress}, ::ReentrantLock)
     5         0 @Base/lock.jl                                                                                              159 lock(::ProgressMeter.var"#13#14"{Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Progress}, ::ReentrantLock)
     2         2 @Base/lock.jl                                                                                              160 lock(::ProgressMeter.var"#13#14"{Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Progress}, ::ReentrantLock)
    62         1 @Base/lock.jl                                                                                              161 lock(::ProgressMeter.var"#13#14"{Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Progress}, ::ReentrantLock)
     4         0 @Base/lock.jl                                                                                              163 lock(::ProgressMeter.var"#13#14"{Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Progress}, ::ReentrantLock)
     1         1 @Base/lock.jl                                                                                               98 unlock(::ReentrantLock)
     4         0 @Base/lock.jl                                                                                              102 unlock(::ReentrantLock)
     1         0 @Base/lock.jl                                                                                              115 unlock(::ReentrantLock)
     1         1 @Base/locks-mt.jl                                                                                           50 _set!
     2         2 @Base/locks-mt.jl                                                                                           61 lock(::Base.Threads.SpinLock)
     4         0 @Base/locks-mt.jl                                                                                           65 lock(::Base.Threads.SpinLock)
     1         0 @Base/locks-mt.jl                                                                                           83 unlock
     2         2 @Base/logging.jl                                                                                           394 current_logger_for_env(::Base.CoreLogging.LogLevel, ::Symbol, ::Module)
     2         0 @Base/logging.jl                                                                                           395 current_logger_for_env(::Base.CoreLogging.LogLevel, ::Symbol, ::Module)
     5         0 @Base/logging.jl                                                                                           396 current_logger_for_env(::Base.CoreLogging.LogLevel, ::Symbol, ::Module)
     2         0 @Base/logging.jl                                                                                           389 current_logstate
     1         1 @Base/logging.jl                                                                                           431 env_override_minlevel(::Symbol, ::Module)
     5         0 @Base/logging.jl                                                                                           432 env_override_minlevel(::Symbol, ::Module)
     1         1 @Base/logging.jl                                                                                             ? macro expansion
